mc = 56, nc = 56
mc,nc,kc,BW
224,224,100,1925.019549
224,224,110,1919.757698
224,224,120,1921.997900
224,224,130,1917.065063
224,224,140,1916.055077
224,224,150,1915.036291
224,224,160,1912.745406
224,224,170,1909.663603
224,224,180,1907.622498
224,224,190,1902.263602
224,224,200,1896.762775
224,224,210,1897.715785
224,224,220,1895.526181
224,224,230,1892.123293
224,224,240,1892.300356
224,224,250,1888.899868
224,224,260,1890.213150
224,224,270,1886.944880
224,224,280,1886.893261
224,224,290,1886.382551
224,224,300,1883.954907
224,224,310,1881.878998
224,224,320,1876.764236
224,224,330,1882.044738
224,224,340,1884.706019
224,224,350,1884.313295
224,224,360,1884.958472
224,224,370,1883.777307
224,224,380,1882.829694
224,224,390,1881.190807
224,224,400,1883.484920
224,224,410,1883.603925
224,224,420,1883.887736
224,224,430,1883.311434
224,224,440,1880.181772
224,224,450,1882.152674
224,224,460,1883.288571
224,224,470,1882.834773
224,224,480,1886.874155
224,224,490,1882.228194
224,224,500,1748.735384
224,224,510,1702.062917
224,224,520,1712.856324
224,224,530,1705.803222
224,224,540,1710.685270
224,224,550,1710.170589
224,224,560,1708.670150
224,224,570,1706.293541
224,224,580,1662.484877
224,224,590,1678.041288
224,224,600,1684.176026
mc = 896, nc = 224
mc,nc,kc,BW
896,224,10,2199.559260
896,224,20,2060.964285
896,224,30,1989.616580
896,224,40,1958.688213
896,224,50,1934.407050
896,224,60,1921.243938
896,224,70,1911.812837
896,224,80,1909.105303
896,224,90,1905.143562
896,224,100,1900.791818
896,224,110,1896.949830
896,224,120,1898.197316
896,224,130,1895.116417
896,224,140,1894.676072
896,224,150,1894.482956
896,224,160,1892.368424
896,224,170,1892.484537
896,224,180,1894.757625
896,224,190,1907.172638
896,224,200,1902.493015
896,224,210,1888.898767
896,224,220,1900.960136
896,224,230,1900.245166
896,224,240,1893.356093
896,224,250,1896.578060
896,224,260,1857.178807
896,224,270,1861.052389
896,224,280,1840.220248
896,224,290,1845.178926
896,224,300,1864.725601
896,224,310,1859.013469
896,224,320,1850.998956
896,224,330,1849.583154
896,224,340,1847.397326
896,224,350,1844.848302
896,224,360,1841.081463
896,224,370,1834.980989
896,224,380,1829.218482
896,224,390,1832.290693
896,224,400,1856.363490
896,224,410,1851.343294
896,224,420,1842.724978
896,224,430,1838.385020
896,224,440,1816.649953
896,224,450,1816.337859
896,224,460,1807.942312
896,224,470,1800.303711
896,224,480,1793.064966
896,224,490,1785.564886
896,224,500,1778.862225
896,224,510,1781.302940
896,224,520,1767.964566
896,224,530,1762.459641
896,224,540,1758.530209
896,224,550,1754.975011
896,224,560,1751.371451
896,224,570,1741.256872
896,224,580,1706.534878
896,224,590,1698.777309
896,224,600,1661.042746
